College_ID,IQ,Prev_Sem_Result,CGPA,Academic_Performance,Internship_Experience,Extra_Curricular_Score,Communication_Skills,Projects_Completed,Placement,Academic_Score,Skill_Score,Placement_Score,Placement_Readiness,Risk_Score,Risk_Level,Skill_Gap
CLG0030,107,6.61,6.28,8,No,8,8,4,No,4.57,7.91,6.12,HIGH,3.88,LOW,0.09
CLG0061,97,5.52,5.37,8,No,7,8,0,No,3.25,4.51,4.06,LOW,5.94,HIGH,3.49
CLG0036,109,5.36,5.83,9,No,3,1,1,No,3.83,1.4,3.25,LOW,6.75,HIGH,6.6
CLG0055,122,5.47,5.75,6,Yes,1,6,1,No,2.84,3.22,3.81,LOW,6.19,HIGH,4.78
CLG0004,96,7.91,7.69,7,No,8,10,2,No,6.05,7.2,6.24,HIGH,3.76,LOW,0.8
CLG0015,96,5.26,5.32,7,No,5,8,0,No,2.73,4.11,3.68,LOW,6.32,HIGH,3.89
CLG0071,123,6.68,6.58,5,No,7,8,2,Yes,3.84,6.11,5.38,MEDIUM,4.62,MEDIUM,1.89
CLG0096,111,8.77,8.76,7,No,3,1,2,Yes,7.35,2.2,5.02,MEDIUM,4.98,MEDIUM,5.8
CLG0097,92,6.47,6.33,9,No,7,8,5,No,4.86,8.51,6.22,HIGH,3.78,LOW,0.0
CLG0057,108,8.82,8.6,4,No,5,9,1,No,6.27,5.36,5.8,MEDIUM,4.2,MEDIUM,2.64
CLG0063,93,8.73,8.9,2,Yes,5,6,0,No,5.77,3.22,4.48,MEDIUM,5.52,MEDIUM,4.78
CLG0077,93,6.23,6.51,8,No,5,7,4,No,4.51,6.87,5.44,MEDIUM,4.56,MEDIUM,1.13
CLG0064,103,8.64,9.01,7,Yes,8,6,1,No,7.46,4.62,5.89,MEDIUM,4.11,MEDIUM,3.38
CLG0017,71,8.74,8.4,6,No,0,5,2,No,6.74,3.38,4.56,MEDIUM,5.44,MEDIUM,4.62
CLG0053,74,6.99,7.31,7,No,0,1,2,No,5.22,1.6,3.29,LOW,6.71,HIGH,6.4
CLG0040,91,6.05,5.8,3,No,4,2,3,No,2.22,3.64,3.2,LOW,6.8,HIGH,4.36
CLG0070,84,7.61,7.54,6,No,0,10,0,No,5.43,4.0,4.51,MEDIUM,5.49,MEDIUM,4.0
CLG0050,104,9.61,10.0,10,Yes,9,2,4,No,9.77,5.44,7.16,HIGH,2.84,LOW,2.56
CLG0068,86,8.2,8.15,7,No,8,9,4,Yes,6.56,8.36,6.74,HIGH,3.26,LOW,0.0
CLG0015,78,5.86,5.56,7,Yes,3,6,2,No,3.26,4.42,3.7,LOW,6.3,HIGH,3.58
CLG0072,121,8.41,8.07,5,Yes,1,3,3,Yes,5.97,3.49,5.15,MEDIUM,4.85,MEDIUM,4.51
CLG0034,96,7.14,7.11,3,Yes,2,3,3,No,3.83,3.69,3.95,LOW,6.05,HIGH,4.31
CLG0030,101,7.96,8.22,2,Yes,8,10,0,No,4.81,5.6,5.19,MEDIUM,4.81,MEDIUM,2.4
CLG0087,78,8.67,9.17,7,Yes,10,10,2,Yes,7.59,7.6,6.71,HIGH,3.29,LOW,0.4
CLG0073,91,7.57,7.86,4,Yes,7,2,2,No,4.97,3.44,4.22,LOW,5.78,HIGH,4.56
CLG0024,101,9.07,9.45,2,No,2,7,2,No,6.37,4.67,5.44,MEDIUM,4.56,MEDIUM,3.33
CLG0008,82,8.61,8.86,8,No,7,1,0,No,7.66,1.4,4.32,MEDIUM,5.68,MEDIUM,6.6
CLG0057,105,8.08,8.48,2,No,3,1,4,No,5.07,3.8,4.64,MEDIUM,5.36,MEDIUM,4.2
CLG0070,90,5.75,5.33,6,Yes,5,10,1,No,2.7,5.8,4.24,LOW,5.76,HIGH,2.2
CLG0025,95,9.18,9.61,4,Yes,3,3,3,No,7.22,3.89,5.37,MEDIUM,4.63,MEDIUM,4.11
CLG0077,90,9.68,9.58,9,Yes,10,1,4,No,9.17,5.2,6.59,HIGH,3.41,LOW,2.8
CLG0034,127,5.68,6.1,5,No,4,3,1,No,2.88,2.49,3.62,LOW,6.38,HIGH,5.51
CLG0025,99,7.44,7.02,4,No,9,9,4,No,4.28,8.56,6.13,HIGH,3.87,LOW,0.0
CLG0018,84,6.29,6.51,8,No,8,7,4,No,4.55,7.47,5.54,MEDIUM,4.46,MEDIUM,0.53
CLG0073,112,8.77,9.01,3,Yes,1,9,4,Yes,6.2,6.96,6.48,HIGH,3.52,LOW,1.04
CLG0097,81,8.61,9.11,9,Yes,8,7,4,No,8.18,7.47,6.94,HIGH,3.06,LOW,0.53
CLG0070,103,5.7,5.97,8,Yes,2,9,2,No,3.8,5.56,4.8,MEDIUM,5.2,MEDIUM,2.44
CLG0014,70,9.39,9.27,8,No,4,3,4,No,8.43,4.89,5.82,MEDIUM,4.18,MEDIUM,3.11
CLG0006,80,5.9,5.96,10,Yes,6,7,1,No,4.58,4.67,4.37,MEDIUM,5.63,MEDIUM,3.33
CLG0082,102,8.99,8.86,5,No,1,6,1,No,6.89,3.22,5.09,MEDIUM,4.91,MEDIUM,4.78
CLG0090,111,7.28,6.98,1,No,3,2,3,No,3.16,3.44,3.84,LOW,6.16,HIGH,4.56
CLG0036,102,6.64,6.39,10,No,0,6,5,No,5.34,6.22,5.67,MEDIUM,4.33,MEDIUM,1.78
CLG0036,98,5.79,5.51,9,No,10,3,0,No,3.85,2.89,3.67,LOW,6.33,HIGH,5.11
CLG0075,95,5.84,5.89,2,Yes,2,2,1,No,1.83,1.64,2.31,LOW,7.69,HIGH,6.36
CLG0018,77,8.31,8.72,1,Yes,5,5,1,No,5.05,3.58,4.07,LOW,5.93,HIGH,4.42
CLG0015,89,7.75,8.16,6,Yes,1,5,1,No,5.97,2.78,4.32,MEDIUM,5.68,MEDIUM,5.22
CLG0094,93,5.61,5.16,1,Yes,7,2,1,No,0.82,2.64,2.27,LOW,7.73,HIGH,5.36
CLG0089,115,5.56,5.14,10,Yes,6,3,0,No,3.78,2.09,3.61,LOW,6.39,HIGH,5.91
CLG0016,105,5.36,5.11,10,No,2,8,0,No,3.63,3.51,3.95,LOW,6.05,HIGH,4.49
CLG0076,73,8.72,8.48,10,Yes,0,5,5,No,8.12,5.78,6.11,HIGH,3.89,LOW,2.22
CLG0014,104,8.56,8.15,7,No,9,8,4,Yes,6.78,8.11,7.03,HIGH,2.97,LOW,0.0
CLG0047,94,5.29,5.18,7,Yes,3,10,5,No,2.64,8.6,5.4,MEDIUM,4.6,MEDIUM,0.0
CLG0054,89,7.8,7.89,1,Yes,3,4,1,No,4.13,2.73,3.56,LOW,6.44,HIGH,5.27
CLG0058,109,5.42,5.5,10,No,10,4,1,No,3.96,4.13,4.4,MEDIUM,5.6,MEDIUM,3.87
